rebalance_date,rebalance_idx,top_n_used,overlap_count,overlap_accuracy,avg_rank_of_selected,mean_future_return,selected_funds,actual_top_funds
2016-11-15,1,15,10,0.6666666666666666,5.5,0.226407088372994,"103819,108596,133711,100033,102920,105001,101824,118049,110603,100664,140172,145112,146771,147701,147843","102920,118049,133711,100033,108596,105001,100664,103819,110603,101824"
2017-05-17,2,15,11,0.7333333333333333,6.0,0.07968784758754416,"140172,102920,133711,108596,105001,103819,100033,118049,100664,110603,101824,145112,146771,147701,147843","110603,100033,140172,103819,118049,105001,100664,108596,102920,133711,101824"
2017-11-16,3,15,11,0.7333333333333333,6.0,0.0037816641623389176,"102920,140172,105001,118049,100664,100033,133711,108596,110603,103819,101824,145112,146771,147701,147843","105001,110603,140172,133711,102920,118049,108596,101824,103819,100664,100033"
2018-05-22,4,15,11,0.7333333333333333,6.0,-0.04914185720072781,"110603,140172,105001,118049,102920,103819,133711,108596,100033,101824,100664,145112,146771,147701,147843","101824,105001,108596,100664,140172,103819,133711,102920,100033,118049,110603"
2018-11-27,5,15,12,0.8,6.5,0.07937687894971072,"145112,105001,110603,101824,140172,133711,102920,108596,118049,103819,100664,100033,146771,147701,147843","101824,102920,103819,105001,140172,100033,133711,145112,108596,100664,110603,118049"
2019-05-30,6,15,13,0.8666666666666667,7.0,0.017007194467198315,"145112,101824,105001,103819,102920,140172,108596,100033,133711,100664,146771,118049,110603,147701,147843","145112,133711,101824,105001,103819,146771,110603,140172,118049,100033,102920,108596,100664"
2019-12-06,7,15,14,0.9333333333333333,7.5,-0.1450786356441677,"147701,145112,101824,105001,103819,133711,100033,102920,140172,110603,118049,108596,146771,100664,147843","145112,102920,110603,140172,118049,101824,103819,100664,133711,146771,147701,100033,108596,105001"
2020-06-12,8,15,15,1.0,8.0,0.333796153792336,"145112,102920,103819,110603,101824,146771,140172,133711,100033,118049,147701,105001,108596,100664,147843","100033,108596,102920,101824,140172,133711,146771,100664,110603,103819,145112,105001,147843,147701,118049"
2020-12-10,9,15,14,0.9333333333333333,8.2,0.2409073383548382,"148471,102920,145112,100033,100664,108596,101824,110603,103819,140172,146771,147701,118049,147843,133711","100664,147843,147701,103819,145112,140172,100033,108596,110603,102920,146771,101824,105001,148471,133711"
2021-06-16,10,15,14,0.9333333333333333,9.0,0.08049414607031141,"145112,100664,103819,100033,147701,110603,101824,140172,147843,102920,133711,108596,118049,146771,105001","148471,105001,145112,133711,147843,147701,102920,100033,118049,146771,140172,110603,100664,108596,101824"
2021-12-20,11,15,14,0.9333333333333333,9.0,-0.1048691560023434,"145112,147843,148471,147701,105001,100033,100664,133711,110603,102920,146771,140172,103819,108596,118049","101824,100664,147843,108596,133711,103819,140172,102920,110603,105001,148471,146771,118049,147701,145112"
2022-06-21,12,15,14,0.9333333333333333,8.214285714285714,0.13731379644223723,"148471,147843,105001,133711,102920,118049,100664,140172,145112,147701,146771,108596,110603,101824,100033","101824,147701,108596,110603,103819,140172,100664,105001,148471,102920,146771,147843,100033,133711,145112"
2022-12-23,13,15,14,0.9333333333333333,8.5,0.10851944244314982,"101824,108596,147701,118049,100664,110603,103819,140172,147843,105001,148471,102920,146771,133711,100033","145112,147701,146771,147843,100664,148471,108596,140172,100033,103819,101824,105001,102920,110603,133711"
2023-06-28,14,15,14,0.9333333333333333,8.071428571428571,0.19892982312593524,"118049,147701,101824,145112,108596,100664,103819,140172,148471,146771,110603,105001,147843,102920,100033","108596,147701,103819,100664,147843,110603,133711,148471,140172,105001,100033,146771,102920,101824,145112"
2024-01-03,15,15,14,0.9333333333333333,8.6,0.24020584997206354,"152225,147701,108596,100664,145112,103819,140172,147843,105001,148471,133711,110603,146771,101824,100033","146771,133711,108596,147701,100664,103819,102920,145112,148471,140172,110603,152225,105001,147843,100033"
2024-07-09,16,15,13,0.8666666666666667,9.2,0.003096381066347324,"152406,100664,108596,103819,133711,147701,145112,102920,146771,140172,110603,148471,105001,152383,147843","147701,152225,146771,148471,140172,152383,102920,145112,100664,133711,105001,108596,152406,103819,100033"
2025-01-08,17,15,11,0.7333333333333333,11.2,0.028136685682722127,"147701,145112,146771,100664,102920,108596,152406,133711,148471,152225,140172,103819,152383,105001,100033","152943,152383,101824,103819,152406,100664,147843,152225,108596,100033,110603,102920,145112,140172,105001"
