rebalance_date,rebalance_idx,top_n_used,overlap_count,overlap_accuracy,avg_rank_of_selected,mean_future_return,selected_funds,actual_top_funds
2016-11-15,1,15,2,0.13333333333333333,1.5,0.1878127803349029,"100631,102020,141224,143830,144197,147184,149305,150661,151289,151445,151821,152072,152095,152650,152816","102020,100631"
2017-05-18,2,15,3,0.2,2.0,0.11332278712228698,"102020,100631,141224,143830,144197,147184,149305,150661,151289,151445,151821,152072,152095,152650,152816","100631,141224,102020"
2017-11-20,3,15,3,0.2,2.0,-0.027574154594446936,"100631,102020,141224,143830,144197,147184,149305,150661,151289,151445,151821,152072,152095,152650,152816","100631,102020,141224"
2018-05-23,4,15,3,0.2,2.0,-0.033102166212421714,"100631,102020,141224,143830,144197,147184,149305,150661,151289,151445,151821,152072,152095,152650,152816","100631,141224,102020"
2018-11-28,5,15,5,0.3333333333333333,3.0,0.09488141872042663,"100631,102020,141224,143830,144197,147184,149305,150661,151289,151445,151821,152072,152095,152650,152816","102020,144197,141224,143830,100631"
2019-05-31,6,15,6,0.4,3.5,0.03047324176829778,"147184,102020,141224,100631,143830,144197,149305,150661,151289,151445,151821,152072,152095,152650,152816","143830,144197,147184,141224,100631,102020"
2019-12-09,7,15,6,0.4,3.5,-0.12313441152313198,"147184,144197,143830,141224,100631,102020,149305,150661,151289,151445,151821,152072,152095,152650,152816","100631,144197,143830,141224,102020,147184"
2020-06-15,8,15,6,0.4,3.5,0.333670381064203,"143830,144197,100631,141224,147184,102020,149305,150661,151289,151445,151821,152072,152095,152650,152816","100631,102020,141224,143830,144197,147184"
2020-12-11,9,15,6,0.4,3.5,0.2712895433029896,"100631,143830,144197,102020,141224,147184,149305,150661,151289,151445,151821,152072,152095,152650,152816","100631,141224,147184,102020,144197,143830"
2021-06-17,10,15,6,0.4,3.5,0.08967410657980501,"100631,141224,102020,143830,144197,147184,149305,150661,151289,151445,151821,152072,152095,152650,152816","102020,100631,141224,144197,143830,147184"
2021-12-21,11,15,7,0.4666666666666667,4.0,-0.10604999869330912,"141224,100631,102020,147184,144197,143830,149305,150661,151289,151445,151821,152072,152095,152650,152816","143830,144197,149305,100631,141224,147184,102020"
2022-06-22,12,15,7,0.4666666666666667,4.0,0.18688363176087278,"102020,100631,141224,144197,143830,147184,149305,150661,151289,151445,151821,152072,152095,152650,152816","100631,149305,143830,144197,147184,141224,102020"
2022-12-26,13,15,8,0.5333333333333333,4.5,0.0736963705083748,"100631,144197,143830,141224,149305,102020,147184,150661,151289,151445,151821,152072,152095,152650,152816","147184,141224,150661,102020,149305,100631,144197,143830"
2023-06-30,14,15,8,0.5333333333333333,4.5,0.2426451787638213,"151445,151289,100631,149305,147184,102020,141224,144197,143830,150661,151821,152072,152095,152650,152816","151289,147184,151445,100631,141224,149305,102020,150661"
2024-01-04,15,15,11,0.7333333333333333,6.0,0.22697142606252188,"152095,151289,151445,152072,147184,151821,100631,141224,102020,149305,150661,144197,143830,152650,152816","150661,151289,102020,100631,152095,147184,141224,151445,152072,149305,151821"
2024-07-10,16,15,12,0.8,6.5,0.0024301900866529336,"152650,152095,151289,141224,147184,151445,100631,102020,150661,152072,151821,149305,143830,144197,152816","152650,152072,150661,102020,152095,151821,151289,141224,151445,149305,147184,100631"
2025-01-09,17,15,14,0.9333333333333333,7.5,0.029452179359158146,"152650,150661,100631,152095,151289,141224,102020,147184,149305,152072,151821,151445,152816,152848,143830","141224,149305,151821,152072,151445,152816,152848,152650,147184,151289,152095,100631,150661,102020"
