scheme_code,scheme_name,date,nav
100631,quant Multi Cap Fund-GROWTH OPTION - Regular Plan,18-11-2025,628.13480
100631,quant Multi Cap Fund-GROWTH OPTION - Regular Plan,17-11-2025,632.14250
100631,quant Multi Cap Fund-GROWTH OPTION - Regular Plan,14-11-2025,628.25300
100631,quant Multi Cap Fund-GROWTH OPTION - Regular Plan,13-11-2025,627.84640
100631,quant Multi Cap Fund-GROWTH OPTION - Regular Plan,12-11-2025,627.24570
100631,quant Multi Cap Fund-GROWTH OPTION - Regular Plan,11-11-2025,623.22490
100631,quant Multi Cap Fund-GROWTH OPTION - Regular Plan,10-11-2025,623.20810
100631,quant Multi Cap Fund-GROWTH OPTION - Regular Plan,07-11-2025,622.35690
100631,quant Multi Cap Fund-GROWTH OPTION - Regular Plan,06-11-2025,620.05730
100631,quant Multi Cap Fund-GROWTH OPTION - Regular Plan,04-11-2025,628.41700
100631,quant Multi Cap Fund-GROWTH OPTION - Regular Plan,03-11-2025,633.54850
100631,quant Multi Cap Fund-GROWTH OPTION - Regular Plan,31-10-2025,630.55080
100631,quant Multi Cap Fund-GROWTH OPTION - Regular Plan,30-10-2025,633.46100
100631,quant Multi Cap Fund-GROWTH OPTION - Regular Plan,29-10-2025,635.31960
100631,quant Multi Cap Fund-GROWTH OPTION - Regular Plan,28-10-2025,630.66190
100631,quant Multi Cap Fund-GROWTH OPTION - Regular Plan,27-10-2025,629.77070
100631,quant Multi Cap Fund-GROWTH OPTION - Regular Plan,24-10-2025,626.88270
100631,quant Multi Cap Fund-GROWTH OPTION - Regular Plan,23-10-2025,628.66940
100631,quant Multi Cap Fund-GROWTH OPTION - Regular Plan,20-10-2025,627.53820
100631,quant Multi Cap Fund-GROWTH OPTION - Regular Plan,17-10-2025,623.99240
100631,quant Multi Cap Fund-GROWTH OPTION - Regular Plan,16-10-2025,625.40060
100631,quant Multi Cap Fund-GROWTH OPTION - Regular Plan,15-10-2025,622.21840
100631,quant Multi Cap Fund-GROWTH OPTION - Regular Plan,14-10-2025,617.52300
100631,quant Multi Cap Fund-GROWTH OPTION - Regular Plan,13-10-2025,621.09710
100631,quant Multi Cap Fund-GROWTH OPTION - Regular Plan,10-10-2025,622.90210
100631,quant Multi Cap Fund-GROWTH OPTION - Regular Plan,09-10-2025,618.89500
100631,quant Multi Cap Fund-GROWTH OPTION - Regular Plan,08-10-2025,614.18520
100631,quant Multi Cap Fund-GROWTH OPTION - Regular Plan,07-10-2025,621.07350
100631,quant Multi Cap Fund-GROWTH OPTION - Regular Plan,06-10-2025,622.63380
100631,quant Multi Cap Fund-GROWTH OPTION - Regular Plan,03-10-2025,621.34630
100631,quant Multi Cap Fund-GROWTH OPTION - Regular Plan,01-10-2025,617.27420
100631,quant Multi Cap Fund-GROWTH OPTION - Regular Plan,30-09-2025,609.00180
100631,quant Multi Cap Fund-GROWTH OPTION - Regular Plan,26-09-2025,610.07570
100631,quant Multi Cap Fund-GROWTH OPTION - Regular Plan,25-09-2025,619.78750
100631,quant Multi Cap Fund-GROWTH OPTION - Regular Plan,24-09-2025,622.91300
100631,quant Multi Cap Fund-GROWTH OPTION - Regular Plan,23-09-2025,632.41990
100631,quant Multi Cap Fund-GROWTH OPTION - Regular Plan,22-09-2025,636.94970
100631,quant Multi Cap Fund-GROWTH OPTION - Regular Plan,19-09-2025,632.38600
100631,quant Multi Cap Fund-GROWTH OPTION - Regular Plan,18-09-2025,629.28660
100631,quant Multi Cap Fund-GROWTH OPTION - Regular Plan,17-09-2025,625.88770
100631,quant Multi Cap Fund-GROWTH OPTION - Regular Plan,16-09-2025,625.01060
100631,quant Multi Cap Fund-GROWTH OPTION - Regular Plan,15-09-2025,621.79710
100631,quant Multi Cap Fund-GROWTH OPTION - Regular Plan,12-09-2025,618.30960
100631,quant Multi Cap Fund-GROWTH OPTION - Regular Plan,11-09-2025,616.75660
100631,quant Multi Cap Fund-GROWTH OPTION - Regular Plan,10-09-2025,612.75780
100631,quant Multi Cap Fund-GROWTH OPTION - Regular Plan,09-09-2025,609.63100
100631,quant Multi Cap Fund-GROWTH OPTION - Regular Plan,08-09-2025,608.06980
100631,quant Multi Cap Fund-GROWTH OPTION - Regular Plan,05-09-2025,606.15180
100631,quant Multi Cap Fund-GROWTH OPTION - Regular Plan,04-09-2025,606.48730
100631,quant Multi Cap Fund-GROWTH OPTION - Regular Plan,03-09-2025,609.86860
100631,quant Multi Cap Fund-GROWTH OPTION - Regular Plan,02-09-2025,606.24840
100631,quant Multi Cap Fund-GROWTH OPTION - Regular Plan,01-09-2025,602.86020
100631,quant Multi Cap Fund-GROWTH OPTION - Regular Plan,29-08-2025,595.36460
100631,quant Multi Cap Fund-GROWTH OPTION - Regular Plan,28-08-2025,597.85520
100631,quant Multi Cap Fund-GROWTH OPTION - Regular Plan,26-08-2025,603.09500
100631,quant Multi Cap Fund-GROWTH OPTION - Regular Plan,25-08-2025,613.64460
100631,quant Multi Cap Fund-GROWTH OPTION - Regular Plan,22-08-2025,612.60680
100631,quant Multi Cap Fund-GROWTH OPTION - Regular Plan,21-08-2025,615.50860
100631,quant Multi Cap Fund-GROWTH OPTION - Regular Plan,20-08-2025,618.31980
100631,quant Multi Cap Fund-GROWTH OPTION - Regular Plan,19-08-2025,615.77800
100631,quant Multi Cap Fund-GROWTH OPTION - Regular Plan,18-08-2025,607.76390
100631,quant Multi Cap Fund-GROWTH OPTION - Regular Plan,14-08-2025,602.06020
100631,quant Multi Cap Fund-GROWTH OPTION - Regular Plan,13-08-2025,604.20700
100631,quant Multi Cap Fund-GROWTH OPTION - Regular Plan,12-08-2025,601.61630
100631,quant Multi Cap Fund-GROWTH OPTION - Regular Plan,11-08-2025,601.95010
100631,quant Multi Cap Fund-GROWTH OPTION - Regular Plan,08-08-2025,597.36080
100631,quant Multi Cap Fund-GROWTH OPTION - Regular Plan,07-08-2025,602.49640
100631,quant Multi Cap Fund-GROWTH OPTION - Regular Plan,06-08-2025,602.45560
100631,quant Multi Cap Fund-GROWTH OPTION - Regular Plan,05-08-2025,609.17820
100631,quant Multi Cap Fund-GROWTH OPTION - Regular Plan,04-08-2025,612.52940
100631,quant Multi Cap Fund-GROWTH OPTION - Regular Plan,01-08-2025,607.33370
100631,quant Multi Cap Fund-GROWTH OPTION - Regular Plan,31-07-2025,617.60230
100631,quant Multi Cap Fund-GROWTH OPTION - Regular Plan,30-07-2025,623.21080
100631,quant Multi Cap Fund-GROWTH OPTION - Regular Plan,29-07-2025,623.35950
100631,quant Multi Cap Fund-GROWTH OPTION - Regular Plan,28-07-2025,616.05900
100631,quant Multi Cap Fund-GROWTH OPTION - Regular Plan,25-07-2025,620.53960
100631,quant Multi Cap Fund-GROWTH OPTION - Regular Plan,24-07-2025,632.24630
100631,quant Multi Cap Fund-GROWTH OPTION - Regular Plan,23-07-2025,635.70440
100631,quant Multi Cap Fund-GROWTH OPTION - Regular Plan,22-07-2025,632.17090
100631,quant Multi Cap Fund-GROWTH OPTION - Regular Plan,21-07-2025,635.96850
100631,quant Multi Cap Fund-GROWTH OPTION - Regular Plan,18-07-2025,634.98450
100631,quant Multi Cap Fund-GROWTH OPTION - Regular Plan,17-07-2025,638.95460
100631,quant Multi Cap Fund-GROWTH OPTION - Regular Plan,16-07-2025,639.61940
100631,quant Multi Cap Fund-GROWTH OPTION - Regular Plan,15-07-2025,638.14110
100631,quant Multi Cap Fund-GROWTH OPTION - Regular Plan,14-07-2025,632.91110
100631,quant Multi Cap Fund-GROWTH OPTION - Regular Plan,11-07-2025,633.07640
100631,quant Multi Cap Fund-GROWTH OPTION - Regular Plan,10-07-2025,639.14290
100631,quant Multi Cap Fund-GROWTH OPTION - Regular Plan,09-07-2025,639.10330
100631,quant Multi Cap Fund-GROWTH OPTION - Regular Plan,08-07-2025,638.78090
100631,quant Multi Cap Fund-GROWTH OPTION - Regular Plan,07-07-2025,639.57580
100631,quant Multi Cap Fund-GROWTH OPTION - Regular Plan,04-07-2025,639.17230
100631,quant Multi Cap Fund-GROWTH OPTION - Regular Plan,03-07-2025,636.75730
100631,quant Multi Cap Fund-GROWTH OPTION - Regular Plan,02-07-2025,637.63670
100631,quant Multi Cap Fund-GROWTH OPTION - Regular Plan,01-07-2025,640.69390
100631,quant Multi Cap Fund-GROWTH OPTION - Regular Plan,30-06-2025,642.36070
100631,quant Multi Cap Fund-GROWTH OPTION - Regular Plan,27-06-2025,641.13020
100631,quant Multi Cap Fund-GROWTH OPTION - Regular Plan,26-06-2025,637.65630
100631,quant Multi Cap Fund-GROWTH OPTION - Regular Plan,25-06-2025,631.87040
100631,quant Multi Cap Fund-GROWTH OPTION - Regular Plan,24-06-2025,624.58140
100631,quant Multi Cap Fund-GROWTH OPTION - Regular Plan,23-06-2025,621.56050
100631,quant Multi Cap Fund-GROWTH OPTION - Regular Plan,20-06-2025,621.17760
100631,quant Multi Cap Fund-GROWTH OPTION - Regular Plan,19-06-2025,615.90000
100631,quant Multi Cap Fund-GROWTH OPTION - Regular Plan,18-06-2025,622.09390
100631,quant Multi Cap Fund-GROWTH OPTION - Regular Plan,17-06-2025,624.62380
100631,quant Multi Cap Fund-GROWTH OPTION - Regular Plan,16-06-2025,628.37840
100631,quant Multi Cap Fund-GROWTH OPTION - Regular Plan,13-06-2025,625.42860
100631,quant Multi Cap Fund-GROWTH OPTION - Regular Plan,12-06-2025,629.45630
100631,quant Multi Cap Fund-GROWTH OPTION - Regular Plan,11-06-2025,640.23500
100631,quant Multi Cap Fund-GROWTH OPTION - Regular Plan,10-06-2025,638.71800
100631,quant Multi Cap Fund-GROWTH OPTION - Regular Plan,09-06-2025,636.67630
100631,quant Multi Cap Fund-GROWTH OPTION - Regular Plan,06-06-2025,630.50120
100631,quant Multi Cap Fund-GROWTH OPTION - Regular Plan,05-06-2025,628.06420
100631,quant Multi Cap Fund-GROWTH OPTION - Regular Plan,04-06-2025,624.29120
100631,quant Multi Cap Fund-GROWTH OPTION - Regular Plan,03-06-2025,620.15420
100631,quant Multi Cap Fund-GROWTH OPTION - Regular Plan,02-06-2025,622.76060
100631,quant Multi Cap Fund-GROWTH OPTION - Regular Plan,30-05-2025,623.60520
100631,quant Multi Cap Fund-GROWTH OPTION - Regular Plan,29-05-2025,625.36120
100631,quant Multi Cap Fund-GROWTH OPTION - Regular Plan,28-05-2025,622.97050
100631,quant Multi Cap Fund-GROWTH OPTION - Regular Plan,27-05-2025,623.49160
100631,quant Multi Cap Fund-GROWTH OPTION - Regular Plan,26-05-2025,621.58810
100631,quant Multi Cap Fund-GROWTH OPTION - Regular Plan,23-05-2025,619.60150
100631,quant Multi Cap Fund-GROWTH OPTION - Regular Plan,22-05-2025,617.33750
100631,quant Multi Cap Fund-GROWTH OPTION - Regular Plan,21-05-2025,621.56020
100631,quant Multi Cap Fund-GROWTH OPTION - Regular Plan,20-05-2025,618.68610
100631,quant Multi Cap Fund-GROWTH OPTION - Regular Plan,19-05-2025,625.57220
100631,quant Multi Cap Fund-GROWTH OPTION - Regular Plan,16-05-2025,623.26990
100631,quant Multi Cap Fund-GROWTH OPTION - Regular Plan,15-05-2025,616.47810
100631,quant Multi Cap Fund-GROWTH OPTION - Regular Plan,14-05-2025,611.38060
100631,quant Multi Cap Fund-GROWTH OPTION - Regular Plan,13-05-2025,608.04570
100631,quant Multi Cap Fund-GROWTH OPTION - Regular Plan,12-05-2025,607.71920
100631,quant Multi Cap Fund-GROWTH OPTION - Regular Plan,09-05-2025,584.55560
100631,quant Multi Cap Fund-GROWTH OPTION - Regular Plan,08-05-2025,587.52800
