date,nav
19-11-2025,26640.50
18-11-2025,26519.00
17-11-2025,26639.40
14-11-2025,26528.00
13-11-2025,26505.60
12-11-2025,26500.00
11-11-2025,26340.00
10-11-2025,26230.80
07-11-2025,26144.20
06-11-2025,26154.95
04-11-2025,26284.45
03-11-2025,26445.85
31-10-2025,26369.50
30-10-2025,26518.85
29-10-2025,26679.25
28-10-2025,26517.45
27-10-2025,26565.00
24-10-2025,26402.80
23-10-2025,26490.05
21-10-2025,26475.85
20-10-2025,26449.75
17-10-2025,26329.80
16-10-2025,26229.20
15-10-2025,25984.05
14-10-2025,25775.15
13-10-2025,25867.75
10-10-2025,25924.75
09-10-2025,25825.70
08-10-2025,25685.90
07-10-2025,25772.25
06-10-2025,25740.95
03-10-2025,25569.30
01-10-2025,25502.95
30-09-2025,25295.15
29-09-2025,25314.85
26-09-2025,25287.10
25-09-2025,25562.00
24-09-2025,25736.35
23-09-2025,25886.00
22-09-2025,25934.50
19-09-2025,26025.85
18-09-2025,26081.85
17-09-2025,25990.45
16-09-2025,25903.55
15-09-2025,25733.55
12-09-2025,25745.10
11-09-2025,25638.75
10-09-2025,25596.95
09-09-2025,25489.20
08-09-2025,25402.00
05-09-2025,25356.85
04-09-2025,25355.15
03-09-2025,25358.90
02-09-2025,25215.05
01-09-2025,25231.20
29-08-2025,25003.05
28-08-2025,25078.50
26-08-2025,25313.50
25-08-2025,25589.70
22-08-2025,25495.60
21-08-2025,25705.10
20-08-2025,25689.30
19-08-2025,25613.30
18-08-2025,25492.35
14-08-2025,25226.25
13-08-2025,25223.25
12-08-2025,25085.40
11-08-2025,25172.20
08-08-2025,24934.05
07-08-2025,25185.15
06-08-2025,25156.35
05-08-2025,25257.95
04-08-2025,25330.20
01-08-2025,25149.60
31-07-2025,25380.50
30-07-2025,25476.05
29-07-2025,25443.65
28-07-2025,25285.00
25-07-2025,25442.10
24-07-2025,25701.90
23-07-2025,25846.00
22-07-2025,25703.90
21-07-2025,25745.35
18-07-2025,25623.50
17-07-2025,25776.45
16-07-2025,25872.20
15-07-2025,25849.15
14-07-2025,25724.15
11-07-2025,25760.80
10-07-2025,25971.35
09-07-2025,26084.00
08-07-2025,26126.05
07-07-2025,26074.55
04-07-2025,26066.65
03-07-2025,26003.00
02-07-2025,26068.05
01-07-2025,26156.10
30-06-2025,26139.50
27-06-2025,26223.60
26-06-2025,26121.10
25-06-2025,25822.35
24-06-2025,25631.60
23-06-2025,25532.95
20-06-2025,25648.80
19-06-2025,25320.45
18-06-2025,25398.05
17-06-2025,25446.70
16-06-2025,25556.75
13-06-2025,25331.35
12-06-2025,25511.55
11-06-2025,25807.10
10-06-2025,25785.50
09-06-2025,25779.45
06-06-2025,25638.80
05-06-2025,25369.75
04-06-2025,25240.65
03-06-2025,25162.05
02-06-2025,25333.65
30-05-2025,25344.25
29-05-2025,25436.30
28-05-2025,25361.10
27-05-2025,25436.35
26-05-2025,25596.50
23-05-2025,25453.00
22-05-2025,25221.90
21-05-2025,25409.10
20-05-2025,25248.65
19-05-2025,25551.50
16-05-2025,25593.10
15-05-2025,25573.05
14-05-2025,25193.30
13-05-2025,25087.10
12-05-2025,25381.40
09-05-2025,24437.55
08-05-2025,24678.00
07-05-2025,24887.20
06-05-2025,24837.45
05-05-2025,25010.20
02-05-2025,24849.20
30-04-2025,24843.80
29-04-2025,24870.40
28-04-2025,24874.00
25-04-2025,24581.30
24-04-2025,24860.90
23-04-2025,24937.00
22-04-2025,24770.45
21-04-2025,24725.80
17-04-2025,24418.35
16-04-2025,24037.25
15-04-2025,23917.40
11-04-2025,23369.25
09-04-2025,22952.45
08-04-2025,23077.65
07-04-2025,22677.90
04-04-2025,23433.25
03-04-2025,23833.30
02-04-2025,23901.85
01-04-2025,23713.80
28-03-2025,24057.35
27-03-2025,24145.05
26-03-2025,23990.40
25-03-2025,24159.90
24-03-2025,24214.20
21-03-2025,23902.10
20-03-2025,23730.70
19-03-2025,23468.35
18-03-2025,23340.40
17-03-2025,22960.80
13-03-2025,22837.85
12-03-2025,22919.90
11-03-2025,22942.70
10-03-2025,22890.75
07-03-2025,23027.70
06-03-2025,23038.80
05-03-2025,22818.80
04-03-2025,22504.90
03-03-2025,22514.20
28-02-2025,22479.45
27-02-2025,22948.30
25-02-2025,22987.15
24-02-2025,23021.70
21-02-2025,23274.05
20-02-2025,23411.40
19-02-2025,23368.55
18-02-2025,23331.40
17-02-2025,23343.15
14-02-2025,23325.15
13-02-2025,23504.85
12-02-2025,23508.35
11-02-2025,23530.80
10-02-2025,23897.00
07-02-2025,24125.50
06-02-2025,24161.00
05-02-2025,24271.35
04-02-2025,24279.65
03-02-2025,23896.15
01-02-2025,24056.65
31-01-2025,24053.45
30-01-2025,23772.50
29-01-2025,23696.25
28-01-2025,23440.05
27-01-2025,23319.95
24-01-2025,23660.20
23-01-2025,23823.25
22-01-2025,23738.40
21-01-2025,23664.75
20-01-2025,24048.80
17-01-2025,23926.00
16-01-2025,23984.55
15-01-2025,23839.25
14-01-2025,23770.60
13-01-2025,23586.80
10-01-2025,24064.75
09-01-2025,24232.30
08-01-2025,24426.00
07-01-2025,24478.10
06-01-2025,24404.60
03-01-2025,24879.85
02-01-2025,25028.80
01-01-2025,24595.70
31-12-2024,24495.55
30-12-2024,24500.75
27-12-2024,24632.00
26-12-2024,24611.35
24-12-2024,24572.50
23-12-2024,24599.75
20-12-2024,24448.85
19-12-2024,24884.95
18-12-2024,25137.60
17-12-2024,25321.65
16-12-2024,25652.85
13-12-2024,25724.60
12-12-2024,25546.40
11-12-2024,25635.05
10-12-2024,25600.20
09-12-2024,25594.20
06-12-2024,25663.90
05-12-2024,25657.85
04-12-2024,25428.40
03-12-2024,25393.25
02-12-2024,25198.15
29-11-2024,25053.95
28-11-2024,24836.25
27-11-2024,25115.15
26-11-2024,24983.10
25-11-2024,24993.65
22-11-2024,24655.35
21-11-2024,24135.10
19-11-2024,24374.70
18-11-2024,24301.00
14-11-2024,24366.05
13-11-2024,24347.00
12-11-2024,24715.55
11-11-2024,25013.30
08-11-2024,25002.95
07-11-2024,25110.70
06-11-2024,25403.15
05-11-2024,25060.80
04-11-2024,24857.75
01-11-2024,25184.60
31-10-2024,25059.50
30-10-2024,25195.05
29-10-2024,25321.30
28-10-2024,25175.20
25-10-2024,25022.20
24-10-2024,25275.50
23-10-2024,25320.65
22-10-2024,25348.05
21-10-2024,25739.50
18-10-2024,25853.80
17-10-2024,25765.35
16-10-2024,26058.10
15-10-2024,26149.10
14-10-2024,26197.90
11-10-2024,26054.10
10-10-2024,26079.45
09-10-2024,26076.60
08-10-2024,26057.35
07-10-2024,25749.65
04-10-2024,26056.00
03-10-2024,26305.25
01-10-2024,26885.25
30-09-2024,26890.15
27-09-2024,27253.85
26-09-2024,27256.25
25-09-2024,27051.65
24-09-2024,27027.50
23-09-2024,27024.10
20-09-2024,26821.00
19-09-2024,26425.25
18-09-2024,26420.15
17-09-2024,26471.30
16-09-2024,26453.40
13-09-2024,26419.90
12-09-2024,26461.10
11-09-2024,25987.80
10-09-2024,26115.20
09-09-2024,26011.25
06-09-2024,25928.55
05-09-2024,26239.10
04-09-2024,26275.75
03-09-2024,26341.70
02-09-2024,26335.00
30-08-2024,26274.35
29-08-2024,26188.90
28-08-2024,26116.80
27-08-2024,26083.15
26-08-2024,26076.80
23-08-2024,25905.95
22-08-2024,25910.45
21-08-2024,25853.20
20-08-2024,25782.35
19-08-2024,25638.20
16-08-2024,25578.50
14-08-2024,25160.65
13-08-2024,25155.15
12-08-2024,25386.05
09-08-2024,25425.40
08-08-2024,25161.25
