close_yf,Date
12960.900390625,2020-11-17
13022.75,2020-11-18
12864.849609375,2020-11-19
12962.4501953125,2020-11-20
13036.650390625,2020-11-23
13158.2998046875,2020-11-24
12959.7998046875,2020-11-25
13087.75,2020-11-26
13080.2998046875,2020-11-27
13225.7001953125,2020-12-01
13244.349609375,2020-12-02
13280.5,2020-12-03
13396.5,2020-12-04
13497.849609375,2020-12-07
13529.849609375,2020-12-08
13649.599609375,2020-12-09
13612.349609375,2020-12-10
13647.900390625,2020-12-11
13693.2001953125,2020-12-14
13697.7001953125,2020-12-15
13808.0498046875,2020-12-16
13852.5498046875,2020-12-17
13872.7998046875,2020-12-18
13431.2998046875,2020-12-21
13577.349609375,2020-12-22
13725.5498046875,2020-12-23
13862.099609375,2020-12-24
13986.7001953125,2020-12-28
14037.650390625,2020-12-29
14088.4501953125,2020-12-30
14090.75,2020-12-31
14267.0498046875,2021-01-04
14355.900390625,2021-01-05
14305.650390625,2021-01-06
14305.5,2021-01-07
14514.349609375,2021-01-08
14642.0498046875,2021-01-11
14705.5,2021-01-12
14694.9501953125,2021-01-13
14731.150390625,2021-01-14
14558.7998046875,2021-01-15
14390.0498046875,2021-01-18
14632.2001953125,2021-01-19
14751.2998046875,2021-01-20
14686.5498046875,2021-01-21
14479.599609375,2021-01-22
14348.4501953125,2021-01-25
14085.849609375,2021-01-27
13947.25,2021-01-28
13743.2998046875,2021-01-29
14361.650390625,2021-02-01
14720.5498046875,2021-02-02
14854.0,2021-02-03
14977.150390625,2021-02-04
14988.9501953125,2021-02-05
15177.9501953125,2021-02-08
15171.25,2021-02-09
15176.400390625,2021-02-10
15249.650390625,2021-02-11
15245.75,2021-02-12
15399.2001953125,2021-02-15
15406.0,2021-02-16
15318.5,2021-02-17
15249.5,2021-02-18
15102.650390625,2021-02-19
14802.4501953125,2021-02-22
14844.25,2021-02-23
15094.849609375,2021-02-24
15209.0,2021-02-25
14667.599609375,2021-02-26
14889.650390625,2021-03-01
15061.599609375,2021-03-02
15379.5,2021-03-03
15238.75,2021-03-04
15084.349609375,2021-03-05
15096.849609375,2021-03-08
15206.0,2021-03-09
15284.849609375,2021-03-10
15140.150390625,2021-03-12
15040.849609375,2021-03-15
15033.2998046875,2021-03-16
14828.849609375,2021-03-17
14662.5,2021-03-18
14847.25,2021-03-19
14859.7001953125,2021-03-22
14952.099609375,2021-03-23
14690.0498046875,2021-03-24
14450.5498046875,2021-03-25
14633.5,2021-03-26
14936.0498046875,2021-03-30
14807.4501953125,2021-03-31
14993.0498046875,2021-04-01
14775.7001953125,2021-04-05
14836.25,2021-04-06
14973.9501953125,2021-04-07
15036.150390625,2021-04-08
15004.150390625,2021-04-09
14450.0498046875,2021-04-12
14639.400390625,2021-04-13
14719.25,2021-04-15
